source,target
"PRADOS, MICHAEL D","GROSSMAN, STUART A"
"POLIN, RICHARD ALAN","MOROWITZ, MICHAEL"
"POLIN, RICHARD ALAN","KATHERIA, ANUP C"
"RAJKOVIC, ALEKSANDAR","SNYDER, MICHAEL P."
"RAJKOVIC, ALEKSANDAR","LATHI, RUTH B"
"RAJKOVIC, ALEKSANDAR","CHENNATHUKUZHI, VARGHEESE MANI"
"RAJKOVIC, ALEKSANDAR","GEORG, GUNDA I."
"RAJKOVIC, ALEKSANDAR","SIROTA, MARINA"
"GIACOMINI, KATHLEEN M","GREENBERG, ANDREW S"
"GIACOMINI, KATHLEEN M","FLOREZ, JOSE CARLOS"
"GIACOMINI, KATHLEEN M","NEWMAN, JOHN WILLIAM"
"GIACOMINI, KATHLEEN M","ALTMAN, RUSS BIAGIO"
"GIACOMINI, KATHLEEN M","HEDDERSON, MONIQUE MARIE"
"STODDART, JAMES FRASER","NEL, ANDRE ELIAS"
"STODDART, JAMES FRASER","ZINK, JEFFREY I"
"STODDART, JAMES FRASER","TAMANOI, FUYUHIKO"
"ZU, TAO","RANUM, LAURA P.W"
"VASAN, GANESH","SCHNITZER, MARK J"
"PLEVRITIS, SYLVIA KATINA","STOUT, NATASHA KAY"
"PLEVRITIS, SYLVIA KATINA","HOLFORD, THEODORE R"
"PLEVRITIS, SYLVIA KATINA","KONG, CHUNG YIN"
"PLEVRITIS, SYLVIA KATINA","MOOLGAVKAR, SURESH H"
"PLEVRITIS, SYLVIA KATINA","DE KONING, HARRY J"
"PLEVRITIS, SYLVIA KATINA","MEZA, RAFAEL"
"PLEVRITIS, SYLVIA KATINA","LEVY, DAVID THEODORE"
"PLEVRITIS, SYLVIA KATINA","MCMAHON, PAMELA MARKELL"
"PLEVRITIS, SYLVIA KATINA","VAN RAVESTEYN, NICOLIEN"
"PLEVRITIS, SYLVIA KATINA","MANDELBLATT, JEANNE"
"PLEVRITIS, SYLVIA KATINA","NAPEL, SANDY A."
"PLEVRITIS, SYLVIA KATINA","BERRY, DONALD A"
"PLEVRITIS, SYLVIA KATINA","WU, ANN CHEN"
"PLEVRITIS, SYLVIA KATINA","CLARKE, MICHAEL"
"PLEVRITIS, SYLVIA KATINA","SCHECHTER, CLYDE"
"PLEVRITIS, SYLVIA KATINA","LEE, SANDRA J"
"PLEVRITIS, SYLVIA KATINA","TRENTHAM-DIETZ, AMY"
"PLEVRITIS, SYLVIA KATINA","ALAGOZ, OGUZHAN"
"PLEVRITIS, SYLVIA KATINA","JEON, JIHYOUN"
"PLEVRITIS, SYLVIA KATINA","HUANG, XUELIN"
"DASGUPTA, SAYAN","FISHER, CYNTHIA E"
"DASGUPTA, SAYAN","DIAMOND, DON J"
"DASGUPTA, SAYAN","LIMAYE, ABHIJIT PRAKASH"
"XU, JUN","SHI, YANG"
"BONAKDARPOUR, BORNA","CHENG, FEIXIONG"
"BONAKDARPOUR, BORNA","PIEPER, ANDREW A"
"BONAKDARPOUR, BORNA","FLANAGAN, MARGARET E"
"MARSIT, CARMEN JOSEPH","STROUD, LAURA R"
"MARSIT, CARMEN JOSEPH","CAUDLE, WILLIAM MICHAEL"
"MARSIT, CARMEN JOSEPH","CHEN, JIA"
"MARSIT, CARMEN JOSEPH","LESTER, BARRY M."
