id,node_color,type
"PRADOS, MICHAEL D",#dbdb8d,17
"POLIN, RICHARD ALAN",#7f7f7f,14
"RAJKOVIC, ALEKSANDAR",#e377c2,12
"GIACOMINI, KATHLEEN M",#1f77b4,1
"STODDART, JAMES FRASER",#2ca02c,5
"ZU, TAO",#2ca02c,5
"VASAN, GANESH",#8c564b,10
"PLEVRITIS, SYLVIA KATINA",#c7c7c7,15
"DASGUPTA, SAYAN",#7f7f7f,14
"XU, JUN",#9467bd,9
"BONAKDARPOUR, BORNA",#ffbb78,4
"MARSIT, CARMEN JOSEPH",#ff9896,8
"PORTER, DAVID L",#9467bd,9
"MOLDAWER, LYLE L",#98df8a,6
"WOOD, LEVI BENJAMIN",#c49c94,11
"RHEAULT, MICHELLE N.",#f7b6d2,13
"ELISSEEFF, JENNIFER H",#2ca02c,5
"MITRA, PARTHA PRATIM",#8c564b,10
"SHEA-BROWN, ERIC TODD",#9467bd,9
"SEGIL, NEIL",#f7b6d2,13
"RASHIGHI, MEHDI",#7f7f7f,14
"BORJABAD, ALEJANDRA",#aec7e8,2
"MODREK, SEPIDEH",#1f77b4,1
"HUANG, YUEQIN",#bcbd22,16
"RASMUSSEN-TORVIK, LAURA J",#ffbb78,4
"KERSHAW, TRACE S",#ff7f0e,3
"FITZPATRICK, ELIZABETH ANN",#98df8a,6
"LIN, XIAORONG",#1f77b4,1
"RYFF, CAROL D.",#bcbd22,16
"SACCHETTINI, JAMES C",#ffbb78,4
"GOODPASTER, BRET H",#bcbd22,16
"IIJIMA, KOICHI",#8c564b,10
"ZUCKERBRAUN, BRIAN SCOTT",#e377c2,12
"PATAPOUTIAN, ARDEM",#aec7e8,2
"MUKKAMALA, RAMAKRISHNA",#f7b6d2,13
"SCOTT, JOHN",#ffbb78,4
"MALAVE-RIVERA, SOUHAIL M",#aec7e8,2
"MISRA, DAWN P",#c49c94,11
"PAULOVICH, AMANDA G",#98df8a,6
"YOU, SUNGYONG",#dbdb8d,17
"MIYAMOTO, SHELLEY DEANNE",#f7b6d2,13
"BURRIDGE, KEITH",#98df8a,6
"GUSTAFSSON, ASA B.",#e377c2,12
"AZIZ-ZADEH, LISA SARAH",#d62728,7
"KILGARD, MICHAEL P",#ff7f0e,3
"VOEKS, JENIFER",#1f77b4,1
"MAJUMDAR, AMITAVA",#bcbd22,16
"RICARDO, ANA CATHERINE",#bcbd22,16
"WANG, WEI",#bcbd22,16
"NYMAN, JEFFRY STEPHEN",#e377c2,12
"DUNN, GAVIN PETER",#7f7f7f,14
"DUNN-NAVARRA, ANN-MARGARET",#1f77b4,1
"TARLOV, ELIZABETH",#f7b6d2,13
"KULKARNI, ABHAYA V",#ff9896,8
"SPRINGER, SANDRA ANN",#aec7e8,2
"ARVANITAKIS, ZOE",#bcbd22,16
"GILMORE, EMILY",#98df8a,6
"GIGIC, BILJANA",#dbdb8d,17
"BRITTON, STEVEN LOYAL",#9edae5,19
"COYNE, CAROLYN B",#9edae5,19
"DOOLAN, DENISE L.",#aec7e8,2
"STEIN, ANTHONY",#17becf,18
"STABENFELDT, SARAH E",#2ca02c,5
"JEAN-LOUIS, GIRARDIN",#ff7f0e,3
"GIUDICE, LINDA C",#e377c2,12
"STEPP, STEPHANIE D",#17becf,18
"HOLT, LIAM J",#7f7f7f,14
"RINI, CHRISTINE",#d62728,7
"CAPITINI, CHRISTIAN",#2ca02c,5
"ESTRELLA, MICHELLE M",#ff9896,8
"FERGUSON, KATHRYN M",#e377c2,12
"MARIS, JOHN M",#2ca02c,5
"SEVICK, MARY A",#bcbd22,16
"JORDAN, BARRY D",#1f77b4,1
"TASSONE, FLORA",#ffbb78,4
"BARISH, GRANT D",#98df8a,6
"JOFFE, STEVEN",#dbdb8d,17
"HAN, SONGI",#aec7e8,2
"GRANDJEAN, PHILIPPE ADAM",#ff9896,8
"MACKINNON, COLUM D",#ff7f0e,3
"LATHAM, NANCY K",#aec7e8,2
"HECKBERT, SUSAN R",#9467bd,9
"LARSEN, MICHAEL DEAN",#1f77b4,1
"CLAPHAM, DAVID E.",#9467bd,9
"LEE, JIN-MOO",#c49c94,11
"NICKERSON, JOHN M",#98df8a,6
"MATVEYENKO, ALEKSEY V",#2ca02c,5
"FELLIN, TOMMASO",#2ca02c,5
"BLAIR, HUGH T",#2ca02c,5
"CLEMENTS, LOGAN",#ff9896,8
"VAN DE WATER, JUDY A.",#f7b6d2,13
"VAN DER MEER, MATTHIJS",#ff9896,8
"TANNENBAUM, ALLEN R.",#98df8a,6
"STONE, EDWIN M",#2ca02c,5
"KAESER, PASCAL SIMON",#17becf,18
"SULLIVAN, RYAN J",#ffbb78,4
"MOSTOFSKY, STEWART H",#2ca02c,5
"MURRAY, WENDY M",#2ca02c,5
"BECKER, JAMES T.",#aec7e8,2
"PAL, TUYA",#e377c2,12
