"FEDER, ADRIANA","SOUTHWICK, STEVEN M M"
"FEDER, ADRIANA","PIETRZAK, ROBERT H"
"SOUTHWICK, STEVEN M M","PIETRZAK, ROBERT H"
"SPIEGEL, BRENNAN","KHANNA, DINESH"
"SUNDERRAM, JAG","AYAPPA, INDU A"
"MARKS, MICHAEL S","RAPOSO, GRACA GRACA"
"WANG, YIAN","YOU, MING"
"ZHOU, XIAOBO","ZU, YOULI"
"EISENBERG, LAURIE S","STIKA, CARREN JEAN"
"RICCI, JOHN","O'CONNOR, J PATRICK"
"RICCI, JOHN","UHRICH, KATHRYN ELIZABETH"
"O'CONNOR, J PATRICK","UHRICH, KATHRYN ELIZABETH"
"DE MAN, BRUNO","WANG, GE"
"ZHAO, XILIN","DRLICA, KARL A"
"ZHAO, XILIN","KERNS, ROBERT JOHN"
"DRLICA, KARL A","KERNS, ROBERT JOHN"
"TYAGI, SANJAY","BUSHKIN, YURI"
"TYAGI, SANJAY","GENNARO, MARIA LAURA"
"BUSHKIN, YURI","GENNARO, MARIA LAURA"
"BENNETT, DAVID S","LEWIS, MICHAEL"
"BENNETT, DAVID S","CARMODY, DENNIS P"
"BENNETT, DAVID S","KESTLER, LISA"
"LEWIS, MICHAEL","CARMODY, DENNIS P"
"LEWIS, MICHAEL","KESTLER, LISA"
"CARMODY, DENNIS P","KESTLER, LISA"
"STOCK, JEFFRY B","MOURADIAN, M. MARAL"
"BUHIMSCHI, CATALIN SORIN","BUHIMSCHI, IRINA A"
"SUNDERRAM, JAG","AYAPPA, INDU A"
"DAHMER, MARY K","FLORI, HEIDI R"
"SCHMIDT, THOMAS M","YOUNG, VINCENT B"
"PIENTA, KENNETH J.","ROWLEY, DAVID R"
"KELLEY, KEITH W","DANTZER, ROBERT"
"KELLEY, KEITH W","KAVELAARS, ANNEMIEKE"
"DANTZER, ROBERT","KAVELAARS, ANNEMIEKE"
"POLLAK, MARTIN R.","MILLER, RICHARD TYLER"
"POLLAK, MARTIN R.","JANMEY, PAUL A"
"MILLER, RICHARD TYLER","JANMEY, PAUL A"
"REDDY, RAJENDER KUCHIKULLA","NAVARRO, VICTOR J"
"FINN, PATRICIA W","PERKINS, DAVID LINN"
"DEVANE, C LINDSAY LINDSAY","GOETZL, LAURA"
"DEVANE, C LINDSAY LINDSAY","RAMAMOORTHY, SAMMANDA"
"GOETZL, LAURA","RAMAMOORTHY, SAMMANDA"
"LE, ANH D","SHI, YUFANG"
"LE, ANH D","SHI, SONGTAO"
"SHI, YUFANG","SHI, SONGTAO"
"YEH, GLORIA Y","MOY, MARILYN L."
"BHASIN, SHALENDER","RAMACHANDRAN, VASAN S"
"WEAVER, VALERIE MARIE","KALLURI, RAGHU"
"WEAVER, VALERIE MARIE","MOSES, HAROLD L"
"KALLURI, RAGHU","MOSES, HAROLD L"
"SUN, YUYU","YEH, CHIH-KO"
"CHAMPAGNE, BEATRIZ MARCET","SCHOJ, VERONICA IRENE"
"CHAMPAGNE, BEATRIZ MARCET","SCHOJ, VERONICA IRENE"
"LIAN, JANE B.","STEIN, GARY S."
"TODD, CATHERINE SUZANNE","MYER, BENJAMIN LANDON"
"JU, TONGZHONG","CUMMINGS, RICHARD D"
"SMITH, MAUREEN E","CHISHOLM, REX L"
"LARDIZABAL, ALFRED A","KAPLAN, GILLA"
"LARDIZABAL, ALFRED A","BALAZSI, GABOR"
"LARDIZABAL, ALFRED A","SONTAG, EDUARDO"
"LARDIZABAL, ALFRED A","PINE, RICHARD"
"LARDIZABAL, ALFRED A","GENNARO, MARIA LAURA"
"KAPLAN, GILLA","BALAZSI, GABOR"
"KAPLAN, GILLA","SONTAG, EDUARDO"
"KAPLAN, GILLA","PINE, RICHARD"
"KAPLAN, GILLA","GENNARO, MARIA LAURA"
"BALAZSI, GABOR","SONTAG, EDUARDO"
